Time,GEMS_GEMS_SPENT
2013/12/2,201
2013/12/3,97
2013/12/4,57
2013/12/5,41
2013/12/6,88
2013/12/7,125
2013/12/8,88
2013/12/9,31
2013/12/10,74
2013/12/11,71
2013/12/12,78
2013/12/13,106
2013/12/14,96
2013/12/15,59
2013/12/16,97
2013/12/17,208
2013/12/21,379
2013/12/22,431
2013/12/26,104
2013/12/27,82
2013/12/28,111
2013/12/29,128
2013/12/30,99
2013/12/31,68
2014/1/1,91
2014/1/2,89
2014/1/3,50
2014/1/4,74
2014/1/5,151
2014/1/6,168
2014/1/7,89
2014/1/8,34
2014/1/9,64
2014/1/10,136
2014/1/11,129
2014/1/12,48
2014/1/13,81
2014/1/14,140
2014/1/15,221
2014/1/16,272
2014/1/17,187
2014/1/18,93
2014/1/19,57
2014/1/20,46
2014/1/21,78
2014/1/22,144
2014/1/23,198
2014/1/24,174
2014/1/25,100
2014/1/26,128
2014/1/27,203
2014/1/28,200
2014/1/29,242
2014/1/30,302
2014/2/1,345
2014/2/2,398
2014/2/3,204
2014/2/4,63
2014/2/5,61
2014/2/6,75
2014/2/7,186
2014/2/8,180
2014/2/9,70
2014/2/10,83
2014/2/11,125
2014/2/12,182
2014/2/13,151
2014/2/14,185
2014/2/15,248
2014/2/16,228
2014/2/17,138
2014/2/18,146
2014/2/19,131
2014/2/20,146
2014/2/21,208
2014/2/22,242
2014/2/23,246
2014/2/24,241
2014/2/25,246
2014/2/26,163
2014/2/27,70
2014/2/28,89
2014/3/1,132
2014/3/2,159
2014/3/3,200
2014/3/4,108
2014/3/5,114
2014/3/6,126
2014/3/7,114
2014/3/8,94
2014/3/9,81
2014/3/10,112
2014/3/11,77
2014/3/12,35
2014/3/13,33
2014/3/14,50
2014/3/15,61
2014/3/16,76
2014/3/17,88
2014/3/18,110
2014/3/19,74
2014/3/20,27
2014/3/21,50
2014/3/22,70
2014/3/23,71
2014/3/24,52
2014/3/25,67
2014/3/26,81
2014/3/27,58
2014/3/28,71
2014/3/29,93
2014/3/30,81
2014/3/31,84
2014/4/1,76
2014/4/2,77
2014/4/3,77
2014/4/4,77
2014/4/5,59
2014/4/6,52
2014/4/7,53
2014/4/8,62
2014/4/9,80
2014/4/10,90
2014/4/11,60
2014/4/12,56
2014/4/13,71
2014/4/14,76
2014/4/15,49
2014/4/16,47
2014/4/17,57
2014/4/18,65
2014/4/19,35
2014/4/20,56
2014/4/21,38
2014/4/22,38
2014/4/23,68
2014/4/24,84
2014/4/25,71
2014/4/26,54
2014/4/27,80
2014/4/28,81
2014/4/29,72
2014/4/30,67
2014/5/1,61
2014/5/2,48
2014/5/3,54
2014/5/4,50
2014/5/5,51
2014/5/6,60
2014/5/7,53
2014/5/8,56
2014/5/9,71
2014/5/10,40
2014/5/11,26
2014/5/12,41
2014/5/13,49
2014/5/14,31
2014/5/15,35
2014/5/16,49
2014/5/17,52
2014/5/18,57
2014/5/19,55
2014/5/20,65
2014/5/21,53
2014/5/22,55
2014/5/23,38
2014/5/24,39
2014/5/25,112
2014/5/26,89
2014/5/27,53
2014/5/28,65
2014/5/29,64
2014/5/30,61
2014/5/31,71
2014/6/1,55
2014/6/2,73
2014/6/3,59
2014/6/4,34
2014/6/5,76
2014/6/6,33
2014/6/7,29
2014/6/8,35
2014/6/9,47
2014/6/10,48
2014/6/11,44
2014/6/12,104
2014/6/13,45
2014/6/14,54
2014/6/15,42
2014/6/16,42
2014/6/17,20
2014/6/18,40
2014/6/19,26
2014/6/20,37
2014/6/21,38
2014/6/22,47
2014/6/23,39
2014/6/24,33
2014/6/25,34
2014/6/26,42
2014/6/27,42
2014/6/28,60
2014/6/29,37
2014/6/30,70
2014/7/1,71
2014/7/2,28
2014/7/3,30
2014/7/4,40
2014/7/5,44
2014/7/6,45
2014/7/7,45
2014/7/8,50
2014/7/9,16
2014/7/10,13
2014/7/11,21
2014/7/12,27
2014/7/13,29
2014/7/14,29
2014/7/15,41
2014/7/16,38
2014/7/17,25
2014/7/18,35
2014/7/19,15
2014/7/20,12
2014/7/21,17
2014/7/22,26
2014/7/23,27
2014/7/24,16
2014/7/25,33
2014/7/26,49
2014/7/27,47
2014/7/28,60
2014/7/29,58
2014/7/30,54
2014/7/31,65
2014/8/1,86
2014/8/2,78
2014/8/3,80
2014/8/4,55
2014/8/5,52
2014/8/6,52
2014/8/7,29
2014/8/8,21
2014/8/9,23
2014/8/10,34
2014/8/11,52
2014/8/12,36
2014/8/13,25
2014/8/14,27
2014/8/15,33
2014/8/16,55
2014/8/17,54
2014/8/18,52
2014/8/19,47
2014/8/20,51
2014/8/21,76
2014/8/22,51
2014/8/23,37
2014/8/24,21
2014/8/25,26
2014/8/26,49
2014/8/27,37
2014/8/28,32
2014/8/29,36
2014/8/30,21
2014/8/31,25
2014/9/1,44
2014/9/2,33
2014/9/3,23
2014/9/4,40
2014/9/5,51
2014/9/6,44
2014/9/7,50
2014/9/8,39
2014/9/9,42
2014/9/10,42
2014/9/11,45
2014/9/12,21
2014/9/13,21
2014/9/14,13
2014/9/15,12
2014/9/16,16
2014/9/17,17
2014/9/18,32
2014/9/19,45
2014/9/20,60
2014/9/21,62
2014/9/22,42
2014/9/23,22
2014/9/24,31
2014/9/25,66
2014/9/26,86
2014/9/27,80
2014/9/28,23
2014/9/29,26
2014/9/30,36
2014/10/1,42
2014/10/2,43
2014/10/3,72
2014/10/4,63
2014/10/5,36
2014/10/6,84
2014/10/7,109
2014/10/8,174
2014/10/9,201
2014/10/10,98
2014/10/11,54
2014/10/12,19
2014/10/13,22
2014/10/14,37
2014/10/15,49
2014/10/16,83
2014/10/17,76
2014/10/18,88
2014/10/19,106
2014/10/20,77
2014/10/21,89
2014/10/22,114
2014/10/23,70
2014/10/24,60
2014/10/25,71
2014/10/26,82
2014/10/27,63
2014/10/28,61
2014/10/29,107
2014/10/30,119
2014/10/31,61
2014/11/1,24
2014/11/2,27
2014/11/3,45
2014/11/4,80
2014/11/5,44
2014/11/6,71
2014/11/7,92
2014/11/8,116
2014/11/9,134
2014/11/10,127
2014/11/11,42
2014/11/12,47
2014/11/13,54
2014/11/14,84
2014/11/15,72
2014/11/16,74
2014/11/17,94
2014/11/18,148
2014/11/19,129
2014/11/20,119
2014/11/21,155
2014/11/22,189
2014/11/23,142
2014/11/24,61
2014/11/25,43
2014/11/26,64
2014/11/27,63
2014/11/28,49
2014/11/29,85
2014/11/30,33
2014/12/1,26
2014/12/2,58
2014/12/3,24
2014/12/4,34
2014/12/5,65
2014/12/6,100
2014/12/7,54
2014/12/8,78
2014/12/9,75
2014/12/10,35
2014/12/11,57
2014/12/12,45
2014/12/13,79
2014/12/14,108
2014/12/15,50
2014/12/16,23
2014/12/17,64
2014/12/18,130
2014/12/19,101
2014/12/20,38
2014/12/21,24
2014/12/22,55
2014/12/23,74
2014/12/24,137
2014/12/25,93
2014/12/26,114
2014/12/27,116
2014/12/28,55
2014/12/29,65
2014/12/30,66
2014/12/31,20
2015/1/1,55
2015/1/2,76
2015/1/3,112
2015/1/4,163
2015/1/5,42
2015/1/6,28
2015/1/7,63
2015/1/8,67
2015/1/9,74
2015/1/10,121
2015/1/11,155
2015/1/12,165
2015/1/13,147
2015/1/14,192
2015/1/15,192
2015/1/16,109
2015/1/17,65
2015/1/18,44
2015/1/19,71
2015/1/20,62
2015/1/21,19
2015/1/22,51
2015/1/23,95
2015/1/24,130
2015/1/25,153
2015/1/26,186
2015/1/27,115
2015/1/28,51
2015/1/29,46
2015/1/30,33
2015/1/31,59
2015/2/1,108
2015/2/2,128
2015/2/3,150
2015/2/4,91
2015/2/5,53
2015/2/6,55
2015/2/7,36
2015/2/8,39
2015/2/9,53
2015/2/10,75
2015/2/11,48
2015/2/12,45
2015/2/13,51
2015/2/14,91
2015/2/15,40
2015/2/16,33
2015/2/17,53
2015/2/18,86
2015/2/19,72
2015/2/20,61
2015/2/21,74
2015/2/22,42
2015/2/23,48
2015/2/24,69
2015/2/25,47
2015/2/26,72
2015/2/27,53
2015/2/28,57
2015/3/1,31
2015/3/2,44
2015/3/3,35
2015/3/4,29
2015/3/5,54
2015/3/6,73
2015/3/7,84
2015/3/8,71
2015/3/9,35
2015/3/10,51
2015/3/11,52
2015/3/12,70
2015/3/13,74
2015/3/14,77
2015/3/15,108
2015/3/16,134
2015/3/17,111
2015/3/18,58
2015/3/19,43
2015/3/20,27
2015/3/21,38
2015/3/22,56
2015/3/23,30
2015/3/24,66
2015/3/25,55
2015/3/26,37
2015/3/27,65
2015/3/28,40
2015/3/29,65
2015/3/30,56
2015/3/31,79
2015/4/1,24
2015/4/2,31
2015/4/3,73
2015/4/4,53
2015/4/5,19
2015/4/6,24
2015/4/7,51
2015/4/8,48
2015/4/9,45
2015/4/10,49
2015/4/11,35
2015/4/12,25
2015/4/13,22
2015/4/14,50
2015/4/15,39
2015/4/16,45
2015/4/17,62
2015/4/18,66
2015/4/19,18
2015/4/20,33
2015/4/21,13
2015/4/22,29
2015/4/23,40
2015/4/24,39
2015/4/25,49
2015/4/26,40
2015/4/27,33
2015/4/28,36
2015/4/29,54
2015/4/30,55
2015/5/1,31
2015/5/2,28
2015/5/3,28
2015/5/4,31
2015/5/5,37
2015/5/6,27
2015/5/7,51
2015/5/8,29
2015/5/9,33
2015/5/10,35
2015/5/11,19
2015/5/12,34
2015/5/13,49
2015/5/14,53
2015/5/15,33
2015/5/16,52
2015/5/17,59
2015/5/18,39
2015/5/19,49
2015/5/20,41
2015/5/21,41
2015/5/22,49
2015/5/23,37
2015/5/24,46
2015/5/25,44
2015/5/26,49
2015/5/27,58
2015/5/28,51
2015/5/29,30
2015/5/30,33
2015/5/31,37
